AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
0.1524570746210454,3.5922961640505737,0.791598556379991,4.855106026922293,-0.1932662858446906,-2.304497979001883,-3.342159338093944,0.6496993770078491,-0.8447248654738981,0.1304713602142153,0.8336307570784796,0.8405907483668134,2.396943528980491,-5.86273909155105
-0.7107443481807119,2.7654261338764705,-0.8382505099143504,4.825662259526446,-1.061165349854951,-4.090124378262115,-5.479427274714227,0.4611244002477725,-2.239842260064547,0.0968072640161257,1.6143539010693466,1.6603403890224078,3.094728467439223,-8.266813670782394
-2.350088029239032,0.7134099031797552,-3.993725118601893,3.701080397087932,-3.512344860074065,-6.778048537360786,-8.45699945488272,-0.3026195601470298,-3.8782927165501633,-0.2388966450108386,2.4662445654498937,2.9146042540283053,3.6633892101122503,-11.206899601207462
-4.476534200810624,-0.8977468755717101,-7.168455086858842,1.4336816903868974,-4.138766221121049,-7.953490650179992,-10.36991927590755,-2.4158335688279577,-4.805266813649123,-2.856813749625977,1.0512522419021204,2.255472960881054,1.5164167440984926,-13.853992535015395
-6.086980882770566,-1.553267729544709,-8.34542778613974,-0.1448694088879477,-1.306908650146845,-7.514128005910054,-11.375543319284247,-3.4628381741870893,-4.544906985302709,-5.569398395092039,-0.9889772210886606,-0.7108287550679218,-1.4500177931635918,-16.22956920292067
-8.34536868629565,-3.847335263483759,-10.52647840238282,-3.2496102812722945,0.4868502103365883,-7.321834001645102,-12.349705717844664,-4.555087912867032,-3.89478524163598,-8.167824043768444,-3.2220032299481485,-3.993526468388755,-4.534794856781096,-17.68474865623099
-11.11776911081357,-5.189522974720031,-12.668210939054,-6.9845381781585285,3.042564363283107,-6.840229689309401,-12.60833195167538,-7.107372526312124,-4.390331379659803,-13.265819396624003,-7.827117865548474,-9.181562557289135,-10.303458873912655,-19.608838991156368
-13.296706133213284,-7.881903168928054,-13.980906808465958,-9.16011064651772,4.127668468142003,-6.862594898625247,-12.533924851863086,-8.183602760343232,-6.833295999573165,-16.21354156313907,-10.778569008229075,-12.587000519576309,-13.673440945181492,-21.38850691910297
-15.35145639971317,-12.558612471018824,-15.75630584240946,-9.732069873949296,1.533847550341255,-7.682655494045201,-11.727653935560353,-8.453778231423094,-10.352140309744977,-16.373720416137814,-12.610586158033769,-12.207879492077543,-12.591235190575455,-21.41241549944117
-17.4634265220629,-16.121065482441832,-16.87882757990463,-9.757788057699122,1.4540977885240232,-7.693924622554774,-10.033132147544302,-9.771433303013872,-13.026548473720712,-17.655052625691635,-16.48247732809353,-12.676631364156508,-12.725367830677502,-21.50074656818194
-19.08440627303237,-21.74865023205402,-17.307278411626623,-8.925377255189735,0.910700388071825,-7.096594030969795,-7.768631510857538,-9.49747556196662,-13.555547749724669,-16.772475035791548,-18.611042526863063,-11.634082371285253,-10.833046670268573,-21.00851723434849
-19.763301612444423,-23.555218742252187,-17.42253859611837,-8.265008913331553,-0.3553755081852834,-6.774558837379053,-5.164957861676461,-8.460817032894616,-12.361761730261769,-16.470675989287585,-19.48679327275394,-10.174220557081712,-9.20485254721417,-19.318254036758542
-18.98664997423973,-18.30896218993433,-16.374330757104122,-8.851650187644987,0.5057781505073031,-6.495489257448177,-4.009414848300656,-8.008886733190185,-11.05373434092228,-18.595083665760622,-19.72698301812959,-11.148738188769856,-12.87699218708643,-19.46239221044745
-17.17378717028949,-13.089754654750006,-14.384155191391915,-8.866944303100722,-1.3906684026241418,-6.589205356537602,-2.612179757135513,-5.749302982410453,-10.798037566323872,-18.99357246627032,-17.08790635895332,-10.449276496413786,-15.60566382999933,-19.535957473048352
-14.25267333056067,-3.5065924959541617,-11.725753724741596,-8.369900919031304,-2.7265103575772893,-7.214500192305054,-0.2834593510644138,-2.7639230196368483,-11.225751548827883,-20.050444537183868,-13.610056536831214,-9.067601650959764,-18.11687255000301,-17.971335404696944
-11.96094322729407,2.6683268763207946,-9.261037506619868,-8.258904138380043,-1.4245581728878594,-6.012693924846905,0.7106065889711051,-2.013456977142385,-10.93020474370418,-19.148389966852527,-12.451853763708872,-8.803145238534663,-20.09718220777563,-17.638341273584988
-11.36042812540299,-0.918137863837886,-7.34456664257365,-7.65042317421873,-0.7096809269132283,-2.9134740396571983,3.3396005000886446,-1.4618116174655784,-9.003427008562504,-14.580539247490927,-12.368495999984283,-7.14474488317281,-16.726754402058923,-16.329485044794538
-10.071420043892216,-2.563078691776523,-5.081059738321079,-6.663144153618844,0.9510444755473674,0.8556605740126317,6.955864408369917,-0.7363670199869803,-6.051541643421993,-10.282652578917457,-12.247014820849678,-5.230834861513522,-12.159964169736702,-13.364231951930698
-8.974246971249851,-7.162339120287237,-2.843940630553984,-6.1763951626683,1.2535742767921128,5.863323706310542,8.486231451133413,-2.008111945347464,-3.704634050859745,-3.323939934036621,-13.50315223527452,-4.197529013426705,-7.232233581868125,-12.076763368499783
-7.713766411008822,-10.609921030217464,-1.2143752887864407,-5.659901275335366,-0.8673238975020707,7.850359238377952,10.408734624486849,-1.5289174826691512,-3.151661212669886,1.5992419662807924,-12.20910617171958,-2.924674245157364,-3.44039904358616,-10.575244902301929
-4.228645089252871,-5.1738405563476,-0.4901450628669908,-4.848050029942493,-2.395832831335072,6.361297038125146,10.144533710306783,-0.2476658399751902,-4.136650988517741,1.8845499375018453,-8.631536837278265,-2.82400318897848,-3.4381289497450864,-8.873902970628576
-1.038773147245654,-2.0347112124976348,-0.7376001520196996,-4.705280079799004,-2.0125623640179606,5.59079857339284,6.733222352198804,-0.9656178922364675,-5.30225451585556,3.814075033026629,-6.301915440895028,-4.075614103183945,-3.718508742084973,-8.989027905853233
1.9892831126636024,1.810960167825769,-1.6721422056328674,-4.557171673228528,0.7279802040210426,4.541317163830795,4.415298341068687,0.0700733091234842,-5.412988602013924,3.407052360482257,-1.68228338650368,-5.109676804442735,-4.693338946563119,-8.423205536274093
4.499717328502937,5.988829933767846,-1.7319802943535332,-3.403480260437448,3.6588293439361337,4.102014663222042,2.405470052320918,0.855168077088572,-4.230817107442391,2.6549787260481,1.8965823146402163,-5.033600973805884,-4.202402533435863,-6.579594431708136
