AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
-18.64464435522555,-14.084219967969354,-13.082929257571752,-10.783390255536036,-2.937120661457412,-1.636793864254712,-3.5998169188246214,-4.048509766763818,1.6987280569602956,5.137868446582011,-5.103119370546773,0.4164311681606323,-10.309956192148793,-14.292734678509945
-22.06249363802324,-15.474892066594457,-17.01490430123919,-8.625935663086622,-3.412819039689123,-1.3162766678846631,-3.5612966850163144,-5.070543551722262,0.2477978966575391,1.749299198512417,-9.284468576452594,-5.564624312249877,-12.544162790363533,-17.201396996994877
-24.16752857012537,-16.46465519536918,-17.927651499486995,-7.907198933094628,-3.264269197114321,-0.5228210905990887,-3.566110020301868,-5.597886276985355,-2.127584358180307,-1.62253812389785,-13.944025693931058,-9.6933858247778,-14.293412029687644,-20.29394020402108
-25.136437031870308,-17.116535173008536,-16.682220440328976,-8.152975478759679,-2.904395363907984,0.0604034845837291,-4.315122472572621,-4.762909755024106,-3.183982711455011,-2.9163353980073023,-17.68796676319291,-11.372552939793929,-15.41654480432338,-22.57553634306833
-25.64067286835672,-17.667721024106868,-14.809499050071334,-8.382776502170788,-2.5366596073644696,-0.7683000950254144,-5.858485895413418,-5.734110680494595,-2.602610067591724,-1.5940826717367005,-20.5915676722924,-12.091845032897076,-16.163953592618668,-23.82666695770345
-26.325464829934432,-18.371860745179344,-13.308968593419388,-8.147006319342054,-2.0982435789012386,-1.2264269899042222,-7.468235345579095,-6.090875979043586,-2.906443400224916,-0.3113307749166867,-23.33857007273692,-13.511100890207532,-16.852353247310766,-25.35804169406743
-27.45128114681586,-19.29785211345717,-12.311079759086349,-7.675734291632981,-1.5722485497550691,-1.5476327132364736,-9.31261546172438,-5.43551070599277,-3.5785369839971257,0.1380925920145865,-25.945420563066243,-15.962244005915604,-17.736119064744983,-26.90630149159864
-28.85364270497717,-20.29080769482644,-11.58021244789114,-7.338189617438402,-1.2189526437965847,-1.8487577386258085,-10.083911188228008,-5.433221090003842,-4.053510401242562,0.183283479450547,-27.370474421539544,-18.58619900652868,-19.015003321851214,-27.717496873992392
-30.103148979438927,-21.11202950071169,-11.026496754016542,-7.235574517777237,-1.3810783156984252,-2.005797124773657,-10.066472150744136,-5.437424144842379,-4.671961827561935,-0.5793588179288471,-26.47809078981271,-20.41441954713607,-20.70134371702509,-27.9216851248908
-30.738655425130226,-21.585672688387533,-10.700200508641908,-7.299779422825698,-2.087419634808009,-2.563763421599135,-10.482113971645129,-5.185493358866883,-4.7355969843309405,-2.025429855959803,-24.15633115549233,-21.07141701613738,-22.39674492930352,-27.53348727093706
